Commune;Code commune;Code postal;Greffe;Type greffe
MONTREDON DES CORBIERES;11255;11100;NARBONNE;TC
POUZOLS MINERVOIS;11296;11120;NARBONNE;TC
JONQUIERES;11176;11220;NARBONNE;TC
NEVERS;58194;58006;NEVERS;TC
TAZILLY;58287;58170;NEVERS;TC
VARENNES VAUZELLES;58303;58643;NEVERS;TC
SAXI BOURDON;58275;58330;NEVERS;TC
NICE;6088;6176;NICE;TC
NICE;6088;6204;NICE;TC
NICE;6088;6206;NICE;TC
NICE;6088;6207;NICE;TC
NICE;6088;6103;NICE;TC
CHATEAUNEUF DE CONTES;6039;6390;NICE;TC
CONTES;6048;6390;NICE;TC
NICE;6088;6822;NICE;TC
NIMES;30189;30008;NIMES;TC
ALES;30007;30107;NIMES;TC
ALES;30007;30115;NIMES;TC
AUBUSSARGUES;30021;30190;NIMES;TC
ST LAURENT D AIGOUZE;30276;30220;NIMES;TC
LECQUES;30144;30250;NIMES;TC
VERGEZE;30344;30310;NIMES;TC
ALES;30007;30313;NIMES;TC
ST JEAN DE CRIEULON;30265;30610;NIMES;TC
UCHAUD;30333;30620;NIMES;TC
CORNILLON;30096;30630;NIMES;TC
POTELIERES;30204;30500;NIMES;TC
PRAILLES LA COUARDE;79217;79800;NIORT;TC
NIORT;79191;79922;NIORT;TC
NIORT;79191;79927;NIORT;TC
PUIHARDY;79223;79160;NIORT;TC
LA CHAPELLE GAUDIN;79072;79300;NIORT;TC
NOUMEA CEDEX;98818;98862;Nouvelle Calédonie;TC
ST DENIS DE L HOTEL;45273;45559;ORLEANS;TC
GIEN;45155;45503;ORLEANS;TC
ST DENIS EN VAL;45274;45560;ORLEANS;TC
AUTRUY SUR JUINE;45015;45480;ORLEANS;TC
LE MALESHERBOIS;45191;45339;ORLEANS;TC
PIERREFITTE ES BOIS;45251;45360;ORLEANS;TC
ORLEANS;45234;45935;ORLEANS;TC
MAREAU AUX BOIS;45195;45300;ORLEANS;TC
PITHIVIERS;45252;45300;ORLEANS;TC
SERMAISES;45310;45300;ORLEANS;TC
COINCES;45099;45310;ORLEANS;TC
OLIVET;45232;45167;ORLEANS;TC
OLIVET;45232;45168;ORLEANS;TC
ASCHERES LE MARCHE;45009;45170;ORLEANS;TC
NEUVILLE AUX BOIS;45224;45170;ORLEANS;TC
FONTENAY SUR LOING;45148;45210;ORLEANS;TC
PARIS;75109;75433;PARIS;TC
PARIS;75115;75737;PARIS;TC
PARIS;75112;75594;PARIS;TC
PARIS;75118;75135;PARIS;TC
PARIS;75115;75520;PARIS;TC
PARIS;75106;75264;PARIS;TC
PARIS;75120;75981;PARIS;TC
PARIS;75114;75690;PARIS;TC
PARIS;75105;75242;PARIS;TC
PARIS;75105;75251;PARIS;TC
PARIS;75103;75146;PARIS;TC
PARIS;75116;75771;PARIS;TC
PARIS;75116;75774;PARIS;TC
PARIS;75112;75601;PARIS;TC
PARIS;75112;75608;PARIS;TC
PARIS VEPEX;75999;99201;PARIS;TC
PARIS;75119;75919;PARIS;TC
PARIS VEPEX;75999;99478;PARIS;TC
PARIS VEPEX;75999;99489;PARIS;TC
PARIS VEPEX;75999;99491;PARIS;TC
PARIS;75108;99569;PARIS;TC
PARIS;75113;75208;PARIS;TC
PAU;64445;64077;PAU;TC
COSLEDAA LUBE BOAST;64194;64160;PAU;TC
PARDIES PIETAT;64444;64800;PAU;TC
SERRES CASTET;64519;64818;PAU;TC
BILLERE;64129;64148;PAU;TC
GOMER;64246;64420;PAU;TC
ARGAGNON;64042;64300;PAU;TC
TERRASSON LAVILLEDIEU;24547;24129;PERIGUEUX;TC
PERIGUEUX;24322;24071;PERIGUEUX;TC
LA CHAPELLE ST JEAN;24113;24390;PERIGUEUX;TC
ST ROMAIN ET ST CLEMENT;24496;24800;PERIGUEUX;TC
QUINSAC;24346;24530;PERIGUEUX;TC
TORREILLES;66212;66440;PERPIGNAN;TC
VIVES;66233;66490;PERPIGNAN;TC
ARGELES SUR MER;66008;66705;PERPIGNAN;TC
LANSAC;66092;66720;PERPIGNAN;TC
ST CYPRIEN;66171;66754;PERPIGNAN;TC
UR;66218;66760;PERPIGNAN;TC
PERPIGNAN;66136;66839;PERPIGNAN;TC
PERPIGNAN;66136;66003;PERPIGNAN;TC
CANET EN ROUSSILLON;66037;66143;PERPIGNAN;TC
ST FELIU D AMONT;66173;66170;PERPIGNAN;TC
PRATS DE MOLLO LA PRESTE;66150;66233;PERPIGNAN;TC
PERPIGNAN;66136;66861;PERPIGNAN;TC
PERPIGNAN;66136;66860;PERPIGNAN;TC
PERPIGNAN;66136;66923;PERPIGNAN;TC
PERPIGNAN;66136;66949;PERPIGNAN;TC
POINTE A PITRE;97120;97008;POINTE-A-PITRE;TC
BAIE MAHAULT;97103;97085;POINTE-A-PITRE;TC
ST LOUIS;97126;97134;POINTE-A-PITRE;TC
BAIE MAHAULT;97103;97191;POINTE-A-PITRE;TC
VELLECHES;86280;86230;POITIERS;TC
LUCHAPT;86138;86430;POITIERS;TC
CHENEVELLES;86072;86450;POITIERS;TC
POITIERS;86194;86625;POITIERS;TC
POITIERS;86194;86627;POITIERS;TC
POITIERS;86194;86633;POITIERS;TC
POITIERS;86194;86641;POITIERS;TC
POITIERS;86194;86025;POITIERS;TC
POITIERS;86194;86026;POITIERS;TC
POITIERS;86194;86029;POITIERS;TC
POITIERS;86194;86030;POITIERS;TC
POITIERS;86194;86053;POITIERS;TC
POITIERS;86194;86006;POITIERS;TC
POITIERS;86194;86009;POITIERS;TC
CHALANDRAY;86050;86190;POITIERS;TC
LOUDUN;86137;86207;POITIERS;TC
VALENCE EN POITOU;86082;86700;POITIERS;TC
CERGY;95127;95864;PONTOISE;TC
MOUSSY;95438;95640;PONTOISE;TC
ST OUEN L AUMONE;95572;95903;PONTOISE;TC
VALLANGOUJARD;95627;95810;PONTOISE;TC
HAUTE ISLE;95301;95780;PONTOISE;TC
CERGY;95127;95800;PONTOISE;TC
MONTLIGNON;95426;95680;PONTOISE;TC
LIVILLIERS;95341;95300;PONTOISE;TC
SAGY;95535;95450;PONTOISE;TC
HERBLAY;95306;95226;PONTOISE;TC
ST OUEN L AUMONE;95572;95079;PONTOISE;TC
FRANCONVILLE;95252;95134;PONTOISE;TC
CERGY;95127;95001;PONTOISE;TC
DOMONT;95199;95441;PONTOISE;TC
DOMONT;95199;95462;PONTOISE;TC
DOMONT;95199;95464;PONTOISE;TC
QUIMPERLE;29233;29391;QUIMPER;TC
EPERNAY;51230;51207;REIMS;TC
LE BREUIL;51085;51210;REIMS;TC
COURCY;51183;51220;REIMS;TC
BAGNEUX;51032;51260;REIMS;TC
LA VILLE SOUS ORBAIS;51639;51270;REIMS;TC
AUMENANCOURT;51025;51110;REIMS;TC
PACE;35210;35742;RENNES;TC
TREMBLAY;35341;35460;RENNES;TC
COMBLESSAC;35084;35330;RENNES;TC
LIEURON;35151;35550;RENNES;TC
BAILLE;35011;35460;RENNES;TC
ST SAUVEUR DES LANDES;35310;35133;RENNES;TC
CHANTEPIE;35055;35135;RENNES;TC
ST MARC SUR COUESNON;35293;35140;RENNES;TC
BRUZ;35047;35170;RENNES;TC
RENNES;35238;35050;RENNES;TC
AVAILLES SUR SEICHE;35008;35130;RENNES;TC
SEVELINGES;42300;42460;ROANNE;TC
NERONDE;42154;42510;ROANNE;TC
ROANNE;42187;42099;ROANNE;TC
OUCHES;42162;42155;ROANNE;TC
VILLEFRANCHE DE ROUERGUE;12300;12202;RODEZ;TC
LESTRADE ET THOUELS;12129;12430;RODEZ;TC
CALMONT;12043;12450;RODEZ;TC
CONQUES EN ROUERGUE;12076;12320;RODEZ;TC
NOAILHAC;12173;12320;RODEZ;TC
COMBRET;12069;12370;RODEZ;TC
MOUNES PROHENCOUX;12192;12370;RODEZ;TC
BOURNAZEL;12031;12390;RODEZ;TC
VILLENEUVE SUR LOT;47323;47306;AGEN;TC
BRAX;47040;47310;AGEN;TC
ROMESTAING;47224;47250;AGEN;TC
COULX;47071;47260;AGEN;TC
CHATEAUNEUF LES MARTIGUES;13026;13220;AIX-EN-PROVENCE;TC
LES MILLES;13920;13290;AIX-EN-PROVENCE;TC
CHATEAUNEUF LES MARTIGUES;13026;13165;AIX-EN-PROVENCE;TC
AIX EN PROVENCE;13001;13606;AIX-EN-PROVENCE;TC
CARRY LE ROUET;13021;13620;AIX-EN-PROVENCE;TC
AJACCIO;2A004;20177;AJACCIO;TC
AJACCIO;2A004;20303;AJACCIO;TC
AJACCIO;2A004;20308;AJACCIO;TC
SOLLACARO;2A284;20140;AJACCIO;TC
ALTAGENE;2A011;20112;AJACCIO;TC
CAURO;2A085;20117;AJACCIO;TC
VICO;2A348;20160;AJACCIO;TC
FREJAIROLLES;81097;81990;ALBI;TC
COURRIS;81071;81340;ALBI;TC
STE GEMME;81249;81190;ALBI;TC
TANUS;81292;81190;ALBI;TC
ST LIEUX LAFENASSE;81260;81120;ALBI;TC
LAMILLARIE;81133;81120;ALBI;TC
CORDES;81069;81170;ALBI;TC
ALBI;81004;81001;ALBI;TC
ALBI;81004;81004;ALBI;TC
ALENCON;61001;61013;ALENCON;TC
OMMEEL;61315;61160;ALENCON;TC
COULONGES SUR SARTHE;61126;61170;ALENCON;TC
STE SCOLASSE SUR SARTHE;61454;61170;ALENCON;TC
STE OPPORTUNE;61436;61100;ALENCON;TC
FLERS;61169;61103;ALENCON;TC
COULONGES LES SABLONS;61125;61110;ALENCON;TC
UROU ET CRENNES;61496;61200;ALENCON;TC
ARGENTAN;61006;61207;ALENCON;TC
GIEL COURTEILLES;61189;61210;ALENCON;TC
VIEUX PONT;61503;61150;ALENCON;TC
MENIL HERMEI;61267;61210;ALENCON;TC
MONTREUIL AU HOULME;61290;61210;ALENCON;TC
LIGNOU;61227;61220;ALENCON;TC
LE PAS ST L HOMER;61323;61290;ALENCON;TC
CARROUGES;61074;61320;ALENCON;TC
LALACELLE;61213;61320;ALENCON;TC
ROUPERROUX;61357;61320;ALENCON;TC
ST ELLIER LES BOIS;61384;61320;ALENCON;TC
BERD HUIS;61043;61340;ALENCON;TC
ST AUBIN DES GROIS;61368;61340;ALENCON;TC
ST JEAN DE LA FORET;61409;61340;ALENCON;TC
BURSARD;61068;61500;ALENCON;TC
BRULLEMAIL;61064;61390;ALENCON;TC
COMBLOT;61113;61400;ALENCON;TC
BAZOCHES SUR HOENE;61029;61560;ALENCON;TC
BEAUVAIN;61035;61600;ALENCON;TC
FRENES;61177;61800;ALENCON;TC
BELFORET EN PERCHE;61196;61130;ALENCON;TC
LONGNY LES VILLAGES;61230;61290;ALENCON;TC
ATHIS VAL DE ROUVRE;61007;61430;ALENCON;TC
L OREE D ECOUVES;61228;61420;ALENCON;TC
LONGUEAU;80489;80334;AMIENS;TC
VAIRE SOUS CORBIE;80774;80800;AMIENS;TC
ST LEGER LES DOMART;80706;80780;AMIENS;TC
DOULLENS;80253;80600;AMIENS;TC
COCQUEREL;80200;80510;AMIENS;TC
GRECOURT;80389;80400;AMIENS;TC
BEAUCAMPS LE VIEUX;80062;80430;AMIENS;TC
BECORDEL BECOURT;80073;80300;AMIENS;TC
MILLENCOURT;80547;80300;AMIENS;TC
CAULIERES;80179;80290;AMIENS;TC
COURCELLES SOUS MOYENCOURT;80218;80290;AMIENS;TC
STE SEGREE;80719;80290;AMIENS;TC
CARTIGNY;80177;80200;AMIENS;TC
TERTRY;80750;80200;AMIENS;TC
CHEPY;80190;80210;AMIENS;TC
CAIX;80162;80170;AMIENS;TC
WIENCOURT L EQUIPEE;80824;80170;AMIENS;TC
BOUCHAVESNES BERGEN;80115;80200;AMIENS;TC
ABBEVILLE;80001;80143;AMIENS;TC
ABBEVILLE;80001;80148;AMIENS;TC
DOMVAST;80250;80150;AMIENS;TC
ESTREES LES CRECY;80290;80150;AMIENS;TC
BRASSY;80134;80160;AMIENS;TC
TOEUFLES;80764;80870;AMIENS;TC
AMIENS;80021;80891;AMIENS;TC
FRESNOY ANDAINVILLE;80356;80140;AMIENS;TC
AMIENS;80021;80046;AMIENS;TC
AMIENS;80021;80080;AMIENS;TC
AMIENS;80021;80098;AMIENS;TC
BERTEAUCOURT LES THENNES;80094;80110;AMIENS;TC
DEMUIN;80237;80110;AMIENS;TC
AMIENS;80021;80017;AMIENS;TC
LES ALLEUDS;49001;49320;ANGERS;TC
MONTREVAULT SUR EVRE;49218;49119;ANGERS;TC
ST SULPICE;49322;49320;ANGERS;TC
SEVREMOINE;49301;49451;ANGERS;TC
MEIGNE;49198;49700;ANGERS;TC
LOIRE AUTHION;49307;49630;ANGERS;TC
BEAUPREAU EN MAUGES;49023;49110;ANGERS;TC
MONTREVAULT SUR EVRE;49218;49118;ANGERS;TC
CHOLET;49099;49307;ANGERS;TC
CHOLET;49099;49309;ANGERS;TC
CHOLET;49099;49325;ANGERS;TC
TILLIERES;49349;49230;ANGERS;TC
ST LAURENT DES AUTELS;49296;49270;ANGERS;TC
ANGERS;49007;49040;ANGERS;TC
ST QUENTIN LES BEAUREPAIRE;49315;49150;ANGERS;TC
LA TOURLANDRY;49351;49120;ANGERS;TC
SEGRE EN ANJOU BLEU;49331;49507;ANGERS;TC
SAUMUR;49328;49421;ANGERS;TC
SAUMUR;49328;49427;ANGERS;TC
VALANJOU;49153;49670;ANGERS;TC
VIVY;49378;49680;ANGERS;TC
VERRIERES EN ANJOU;49323;49481;ANGERS;TC
LIRE;49177;49530;ANGERS;TC
LA BOHALLE;49032;49800;ANGERS;TC
PARNAY;49235;49730;ANGERS;TC
VARENNES SUR LOIRE;49361;49730;ANGERS;TC
LES HAUTS D ANJOU;49080;49330;ANGERS;TC
RUFFEC;16292;16700;ANGOULEME;TC
ANGOULEME;16015;16904;ANGOULEME;TC
ANGOULEME;16015;16912;ANGOULEME;TC
ST VALLIER;16357;16480;ANGOULEME;TC
ANAIS;16011;16560;ANGOULEME;TC
MORNAC;16232;16600;ANGOULEME;TC
PLAIZAC;16262;16170;ANGOULEME;TC
COGNAC;16102;16102;ANGOULEME;TC
FOUQUEURE;16144;16140;ANGOULEME;TC
MONTJEAN;16229;16240;ANGOULEME;TC
POULLIGNAC;16267;16190;ANGOULEME;TC
ST EUTROPE;16314;16190;ANGOULEME;TC
PLASSAC ROUFFIAC;16263;16250;ANGOULEME;TC
VIGNOLLES;16405;16300;ANGOULEME;TC
FLEURAC;16139;16200;ANGOULEME;TC
VILLEBOIS LAVALETTE;16408;16320;ANGOULEME;TC
CHARRAS;16084;16380;ANGOULEME;TC
GRASSAC;16158;16380;ANGOULEME;TC
VOEUIL ET GIGET;16418;16400;ANGOULEME;TC
BOUEX;16055;16410;ANGOULEME;TC
TORSAC;16382;16410;ANGOULEME;TC
SAULGOND;16363;16420;ANGOULEME;TC
ROULLET ST ESTEPHE;16287;16440;ANGOULEME;TC
ANNECY;74010;74008;ANNECY;TC
ANNECY;74010;74609;ANNECY;TC
ANNECY;74010;74995;ANNECY;TC
ANNECY;74010;74044;ANNECY;TC
ANNECY;74010;74968;ANNECY;TC
LA BALME DE SILLINGY;74026;74338;ANNECY;TC
ANNECY;74010;74056;ANNECY;TC
ANNECY;74010;74035;ANNECY;TC
CLUSES;74081;74304;ANNECY;TC
ANNECY;74010;74035;ANNECY;TC
ENTREVERNES;74111;74410;ANNECY;TC
RUMILLY;74225;74155;ANNECY;TC
SEYTHENEX;74270;74210;ANNECY;TC
DINGY ST CLAIR;74102;74230;ANNECY;TC
ANNECY LE VIEUX;74011;74940;ANNECY;TC
SCIONZIER;74264;74953;ANNECY;TC
SCIONZIER;74264;74957;ANNECY;TC
ANNECY;74010;74994;ANNECY;TC
AMANCY;74007;74800;ANNECY;TC
ST LAURENT DU VAR;6123;6705;ANTIBES;TC
ANTIBES;6004;6608;ANTIBES;TC
BAILLEULVAL;62074;62123;ARRAS;TC
ECOUST ST MEIN;62285;62128;ARRAS;TC
BEAUVOIS;62101;62130;ARRAS;TC
BLESSY;62141;62120;ARRAS;TC
ROMBLY;62720;62120;ARRAS;TC
ACHIET LE GRAND;62005;62121;ARRAS;TC
YTRES;62909;62124;ARRAS;TC
AMBRINES;62027;62127;ARRAS;TC
ARRAS;62041;62972;ARRAS;TC
LILLERS;62516;62194;ARRAS;TC
LIBERCOURT;62907;62820;ARRAS;TC
BULLY LES MINES;62186;62160;ARRAS;TC
LENS;62498;62337;ARRAS;TC
CALONNE SUR LA LYS;62195;62350;ARRAS;TC
NOEUX LES AUXI;62616;62390;ARRAS;TC
HENIN BEAUMONT;62427;62259;ARRAS;TC
ARRAS;62041;62025;ARRAS;TC
BETHUNE;62119;62418;ARRAS;TC
BAPAUME;62080;62457;ARRAS;TC
NOYELLES SOUS BELLONNE;62627;62490;ARRAS;TC
SAILLY EN OSTREVENT;62734;62490;ARRAS;TC
BARLY;62084;62810;ARRAS;TC
OIGNIES;62637;62590;ARRAS;TC
MAISNIL LES RUITZ;62540;62620;ARRAS;TC
BRUAY LA BUISSIERE;62178;62702;ARRAS;TC
POMMERA;62663;62760;ARRAS;TC
ST AMAND;62741;62760;ARRAS;TC
ONET LE CHATEAU;12176;12027;RODEZ;TC
ROMANS SUR ISERE;26281;26106;ROMANS;TC
ST AUBAN SUR L OUVEZE;26292;26170;ROMANS;TC
MONTELIMAR;26198;26201;ROMANS;TC
ANDANCETTE;26009;26140;ROMANS;TC
BESAYES;26049;26300;ROMANS;TC
CHASTEL ARNAUD;26080;26340;ROMANS;TC
RIMON ET SAVEL;26266;26340;ROMANS;TC
SAILLANS;26289;26340;ROMANS;TC
CREPOL;26107;26350;ROMANS;TC
AOUSTE SUR SYE;26011;26400;ROMANS;TC
GUMIANE;26147;26470;ROMANS;TC
MONTFROC;26200;26560;ROMANS;TC
CHANTEMERLE LES BLES;26072;26600;ROMANS;TC
AMBONIL;26007;26800;ROMANS;TC
MAROMME;76410;76159;ROUEN;TC
ROUEN;76540;76027;ROUEN;TC
ROUEN;76540;76040;ROUEN;TC
AUZOUVILLE SUR RY;76046;76116;ROUEN;TC
BOSC ROGER SUR BUCHY;76127;76750;ROUEN;TC
MORGNY LA POMMERAYE;76453;76750;ROUEN;TC
ANCRETIEVILLE ST VICTOR;76010;76760;ROUEN;TC
ST NICOLAS DE BLIQUETUIT;76625;76940;ROUEN;TC
ROUEN;76540;76949;ROUEN;TC
BUTOT VENESVILLE;76732;76450;ROUEN;TC
BETTEVILLE;76089;76190;ROUEN;TC
BOIS GUILLAUME;76108;76230;ROUEN;TC
ST PAER;76631;76480;ROUEN;TC
ORIVAL;76486;76500;ROUEN;TC
LE TORP MESNIL;76699;76560;ROUEN;TC
INGOUVILLE;76375;76460;ROUEN;TC
ROUEN;76540;76900;ROUEN;TC
CLAVILLE MOTTEVILLE;76177;76690;ROUEN;TC
SAINS;35248;35610;SAINT MALO;TC
MESNIL ROC H;35308;35720;SAINT MALO;TC
TRAMAIN;22341;22640;SAINT MALO;TC
PLESSIX BALISSON;22192;22650;SAINT MALO;TC
AUCALEUC;22003;22100;SAINT MALO;TC
PLERGUER;35224;35540;SAINT MALO;TC
LAMBALLE ARMOR;22093;22402;SAINT-BRIEUC;TC
TROGUERY;22383;22450;SAINT-BRIEUC;TC
LAMBALLE ARMOR;22093;22403;SAINT-BRIEUC;TC
LANNION;22113;22302;SAINT-BRIEUC;TC
LANNION;22113;22306;SAINT-BRIEUC;TC
PLOUEC DU TRIEUX;22212;22260;SAINT-BRIEUC;TC
ST BRIEUC;22278;22080;SAINT-BRIEUC;TC
LOUANNEC;22134;22700;SAINT-BRIEUC;TC
ILE DE BREHAT;22016;22870;SAINT-BRIEUC;TC
YVIAS;22390;22930;SAINT-BRIEUC;TC
ST DENIS;97411;97707;SAINT-DENIS-DE-LA-REUNION;TC
ST DENIS;97411;97478;SAINT-DENIS-DE-LA-REUNION;TC
LE PORT;97407;97826;SAINT-DENIS-DE-LA-REUNION;TC
ST ANDRE;97409;97842;SAINT-DENIS-DE-LA-REUNION;TC
ST DENIS;97411;97486;SAINT-DENIS-DE-LA-REUNION;TC
ST PAUL;97415;97869;SAINT-DENIS-DE-LA-REUNION;TC
STE CLOTILDE CEDEX;97454;97799;SAINT-DENIS-DE-LA-REUNION;TC
ST PAUL EN CORNILLON;42270;42240;SAINT-ETIENNE;TC
ESTIVAREILLES;42091;42380;SAINT-ETIENNE;TC
MERLE;42142;42380;SAINT-ETIENNE;TC
ST CHAMOND;42207;42409;SAINT-ETIENNE;TC
ST ETIENNE;42218;42031;SAINT-ETIENNE;TC
LE CHAMBON FEUGEROLLES;42044;42503;SAINT-ETIENNE;TC
ST PIERRE DE BOEUF;42272;42520;SAINT-ETIENNE;TC
ST ETIENNE;42218;42011;SAINT-ETIENNE;TC
ST ETIENNE;42218;42042;SAINT-ETIENNE;TC
AILLEUX;42002;42130;SAINT-ETIENNE;TC
ARTHUN;42009;42130;SAINT-ETIENNE;TC
MARINGES;42138;42140;SAINT-ETIENNE;TC
LERIGNEUX;42121;42600;SAINT-ETIENNE;TC
PRECIEUX;42180;42600;SAINT-ETIENNE;TC
ST JUST EN BAS;42247;42990;SAINT-ETIENNE;TC
RIVE DE GIER;42186;42806;SAINT-ETIENNE;TC
LE CHAMBON FEUGEROLLES;42044;42506;SAINT-ETIENNE;TC
ST NAZAIRE;44184;44606;SAINT-NAZAIRE;TC
ST NAZAIRE;44184;44607;SAINT-NAZAIRE;TC
PORNIC;44131;44213;SAINT-NAZAIRE;TC
LAON;2408;2014;SAINT-QUENTIN;TC
LAON;2408;2016;SAINT-QUENTIN;TC
NEUVILLETTE;2552;2390;SAINT-QUENTIN;TC
THENELLES;2741;2390;SAINT-QUENTIN;TC
ASSIS SUR SERRE;2027;2270;SAINT-QUENTIN;TC
VIRY NOUREUIL;2820;2300;SAINT-QUENTIN;TC
LEME;2416;2140;SAINT-QUENTIN;TC
MARLY GOMONT;2469;2120;SAINT-QUENTIN;TC
NOYALES;2563;2120;SAINT-QUENTIN;TC
ROYAN;17306;17204;SAINTES;TC
SOUSMOULINS;17433;17130;SAINTES;TC
RETAUD;17296;17460;SAINTES;TC
CHERBONNIERES;17101;17470;SAINTES;TC
LE MUNG;17252;17350;SAINTES;TC
POURSAY GARNAUD;17288;17400;SAINTES;TC
ST JEAN D ANGELY;17347;17411;SAINTES;TC
ST JEAN D ANGELY;17347;17415;SAINTES;TC
LA CHAPELLE DES POTS;17089;17100;SAINTES;TC
MORNAC SUR SEUDRE;17247;17113;SAINTES;TC
CHENAC ST SEURIN D UZET;17098;17120;SAINTES;TC
ST MARTIAL DE VITATERNE;17363;17500;SAINTES;TC
VANZAC;17458;17500;SAINTES;TC
MIRAMAS;13063;13142;SALON-DE-PROVENCE;TC
CORNILLON CONFOUX;13029;13250;SALON-DE-PROVENCE;TC
ST CANNAT;13091;13760;SALON-DE-PROVENCE;TC
FOS SUR MER;13039;13777;SALON-DE-PROVENCE;TC
SALON DE PROVENCE;13103;13654;SALON-DE-PROVENCE;TC
LAMBACH;57376;57410;SARREGUEMINES;TC
THEDING;57669;57450;SARREGUEMINES;TC
PHILIPPSBOURG;57541;57230;SARREGUEMINES;TC
FORBACH;57227;57615;SARREGUEMINES;TC
FORBACH;57227;57617;SARREGUEMINES;TC
DIFFEMBACH LES HELLIMER;57178;57660;SARREGUEMINES;TC
PETIT TENQUIN;57536;57660;SARREGUEMINES;TC
WOUSTVILLER;57752;57916;SARREGUEMINES;TC
REXINGEN;67396;67320;SAVERNE;TC
SARRE UNION;67434;67269;SAVERNE;TC
KRAUTERGERSHEIM;67248;67880;SAVERNE;TC
SAVERNE;67437;67703;SAVERNE;TC
CHARLEVILLE MEZIERES;8105;8100;SEDAN;TC
CHARLEVILLE MEZIERES;8105;8101;SEDAN;TC
CHARLEVILLE MEZIERES;8105;8002;SEDAN;TC
CHARLEVILLE MEZIERES;8105;8004;SEDAN;TC
CHARLEVILLE MEZIERES;8105;8035;SEDAN;TC
HOULDIZY;8230;8090;SEDAN;TC
MONTCY NOTRE DAME;8298;8090;SEDAN;TC
CHARDENY;8104;8400;SEDAN;TC
VONCQ;8489;8400;SEDAN;TC
TOURTERON;8458;8130;SEDAN;TC
CHEMERY CHEHERY;8115;8450;SEDAN;TC
LANDRICHAMPS;8247;8600;SEDAN;TC
RANCENNES;8353;8600;SEDAN;TC
MOUZON;8311;8210;SEDAN;TC
CHAMPIGNEUL SUR VENCE;8099;8430;SEDAN;TC
POILCOURT SYDNEY;8340;8190;SEDAN;TC
HANNAPPES;8208;8290;SEDAN;TC
CHAMPLIN;8100;8260;SEDAN;TC
CORNY MACHEROMENIL;8132;8270;SEDAN;TC
CHAMPVALLON;89078;89710;SENS;TC
BEON;89037;89410;SENS;TC
VERON;89443;89511;SENS;TC
GOUSSANCOURT;2351;2130;SOISSONS;TC
CHACRISE;2154;2200;SOISSONS;TC
SAPONAY;2699;2130;SOISSONS;TC
RESSONS LE LONG;2643;2290;SOISSONS;TC
LESGES;2421;2220;SOISSONS;TC
QUINCY SOUS LE MONT;2633;2220;SOISSONS;TC
LA CHAPELLE SUR CHEZY;2162;2570;SOISSONS;TC
MONT ST PERE;2524;2400;SOISSONS;TC
ESCHAU;67131;67114;STRASBOURG;TC
BISCHWILLER;67046;67249;STRASBOURG;TC
KUTZENHAUSEN;67254;67250;STRASBOURG;TC
PREUSCHDORF;67379;67250;STRASBOURG;TC
SEEBACH;67351;67160;STRASBOURG;TC
WISSEMBOURG;67544;67162;STRASBOURG;TC
WISSEMBOURG;67544;67167;STRASBOURG;TC
DONNENHEIM;67100;67170;STRASBOURG;TC
BRUMATH;67067;67173;STRASBOURG;TC
STRASBOURG;67482;67003;STRASBOURG;TC
STRASBOURG;67482;67009;STRASBOURG;TC
STRASBOURG;67482;67015;STRASBOURG;TC
KOGENHEIM;67246;67230;STRASBOURG;TC
STRASBOURG;67482;67056;STRASBOURG;TC
STRASBOURG;67482;67925;STRASBOURG;TC
NIEDERSTEINBACH;67334;67510;STRASBOURG;TC
BENFELD;67028;67231;STRASBOURG;TC
STRASBOURG;67482;67962;STRASBOURG;TC
FEGERSHEIM;67137;67641;STRASBOURG;TC
WALTENHEIM SUR ZORN;67516;67670;STRASBOURG;TC
WITTERSHEIM;67546;67670;STRASBOURG;TC
HOERDT;67205;67720;STRASBOURG;TC
MUNDOLSHEIM;67309;67457;STRASBOURG;TC
ROPPENHEIM;67409;67480;STRASBOURG;TC
HAGUENAU;67180;67507;STRASBOURG;TC
LEMBACH;67263;67510;STRASBOURG;TC
LINGOLSHEIM;67267;67835;STRASBOURG;TC
ARLES;13004;13633;TARASCON;TC
ORGON;13067;13660;TARASCON;TC
EYRAGUES;13036;13630;TARASCON;TC
ESPIEILH;65167;65130;TARBES;TC
LUBY BETMONT;65289;65220;TARBES;TC
MAZEROLLES;65308;65220;TARBES;TC
ST LAURENT DE NESTE;65389;65150;TARBES;TC
BAGNERES DE BIGORRE;65059;65200;TARBES;TC
TREBONS;65451;65200;TARBES;TC
BAGNERES DE BIGORRE;65059;65204;TARBES;TC
JUNCALAS;65237;65100;TARBES;TC
LES ANGLES;65011;65100;TARBES;TC
SERON;65422;65320;TARBES;TC
BOURG DE BIGORRE;65105;65130;TARBES;TC
TARBES;65440;65009;TARBES;TC
BENAC;65080;65380;TARBES;TC
RECURT;65376;65330;TARBES;TC
CABANAC;65115;65350;TARBES;TC
VILLENAVE PRES MARSAC;65477;65500;TARBES;TC
OSMETS;65342;65350;TARBES;TC
LASCAZERES;65264;65700;TARBES;TC
CAZAUX FRECHET ANERAN CANORS;65141;65240;TARBES;TC
TARBES;65440;65912;TARBES;TC
FERRIERES;65176;65560;TARBES;TC
ARNE;65028;65670;TARBES;TC
THIONVILLE;57672;57125;THIONVILLE;TC
THIONVILLE;57672;57128;THIONVILLE;TC
